n,greedy_cost,greedy_time,greedy_relative_dist,greedy_benefit,batching_cost,batching_time,batching_relative_dist,batching_benefit,alternative_cost,alternative_time,alternative_relative_dist,alternative_benefit,alternative2_cost,alternative2_time,alternative2_relative_dist,alternative2_benefit
10,36.9,0.001345,23.3605,2.18764,29.3,0.242336,15.0347,2.3803,30.1,0.038779,11.306,2.6845,30,0.037774,11.5763,2.58356
10,42.4,0.001239,14.1662,2.32316,32.4,0.039926,8.54462,2.48467,33.3,0.027021,6.12343,2.69549,34.1,0.029207,6.50639,2.56407
10,65.6,0.001252,34.5319,1.50132,56.9,0.040454,28.6388,1.68668,62.7,0.066717,26.4907,1.59091,57.1,0.03198,29.2244,1.71504
10,29.5,0.001235,17.4853,2.12265,23.7,0.037214,15.7842,2.46848,24.4,0.033918,9.2927,2.7474,24.4,0.026862,9.32776,2.744
10,33.9,0.001279,13.6098,2.72653,30.8,0.040521,15.2464,2.76135,32.2,0.023503,9.15424,2.95039,33.3,0.029916,10.847,2.51203
10,63.6,0.001141,27.713,1.7508,54.4,0.032528,27.3108,2.32476,56.4,0.025676,18.1897,2.13802,56.5,0.027261,18.696,1.9504
10,44.9,0.000973,32.1365,1.95153,41,0.046019,22.6362,1.96554,44.2,0.028395,12.8599,2.04453,44.2,0.029195,12.8599,2.04453
10,56.3,0.001069,28.6345,1.88981,46.9,0.037665,16.2451,2.49294,51.4,0.038659,13.7239,3.35062,47,0.031859,14.7161,2.50264
10,38.1,0.001102,25.7545,1.78968,35.5,0.034843,21.4046,1.94116,37.7,0.029476,14.9126,2.23213,36.2,0.02991,15.7012,2.12418
10,58.1,0.00112,30.9314,1.69759,49.7,0.043664,37.2742,1.83825,50.5,0.028077,22.9594,1.91523,50.5,0.023913,23.1702,1.92078
100,408.7,0.050559,25.6794,2.66872,329.5,2.63603,19.6012,2.58795,353.3,2.81608,8.53729,3.21498,352.6,2.05287,9.90835,2.91832
100,380,0.07486,21.3852,2.57695,344.2,3.10738,25.5204,2.54653,378.1,12.6949,9.68669,3.04937,366.2,2.63533,14.2935,2.73007
100,307.7,0.050728,16.9277,3.10373,241.5,7.29763,14.5063,3.13967,263.8,7.54747,6.70675,4.21492,262.8,4.56816,8.36048,3.32637
100,380.1,0.052432,20.3977,2.58536,317.4,6.33813,19.0303,2.55401,351.8,6.22772,8.42515,3.06858,337.3,1.98597,9.61529,2.94301
100,279.2,0.051818,21.2171,2.87035,234.8,2.11132,13.0355,3.04362,264.7,1.85528,6.80348,3.56614,267.6,2.23175,7.97186,3.26471
100,398.5,0.061246,36.2022,2.57917,341.7,2.31912,15.0977,3.75177,360.4,2.52601,8.37131,4.14139,356.7,2.70308,60.0068,2.7413
100,323.1,0.048023,15.5951,2.91306,250.9,2.77021,13.7765,2.94987,292.1,3.37256,7.05497,3.72044,284.9,2.21827,8.99687,3.14624
100,325.5,0.049418,13.1414,2.95811,260,2.23136,13.7152,2.92166,299.3,2.0444,7.28293,3.49355,293.3,2.60107,8.36091,3.25734
100,271.3,0.055591,14.2685,3.20167,227.6,2.33099,13.3557,3.07392,246.2,2.67778,6.07096,3.79984,249.3,2.31247,7.6247,3.40305
100,299,0.048427,18.8482,2.89727,258.7,2.65998,14.3561,2.80231,274.8,2.29265,7.64669,3.31746,277.3,2.39251,9.00857,3.07155
250,917.9,0.399196,43.3875,3.05795,706.5,33.0443,14.2803,4.01831,742.3,19.8156,7.29059,3.65436,748.1,17.9012,9.22449,3.29875
250,988.2,0.431798,19.886,2.87723,773.9,16.2526,15.9264,2.92202,873.3,18.0818,7.24301,3.50771,859.3,19.8584,8.62951,3.19874
250,736.9,0.298949,16.685,3.02062,599.5,24.013,13.3001,2.91784,662.4,27.8387,5.4802,3.54739,666.4,19.2402,6.58326,3.28307
250,844.5,0.306556,16.7466,4.23301,730.9,14.8977,15.4738,3.28265,768.4,16.0251,6.89101,5.34615,781.4,21.1271,8.60236,3.20746
250,844.2,0.380633,17.4334,2.85226,727,19.1857,15.6422,2.86275,759,17.2853,6.89524,3.43784,766.1,37.689,8.08843,3.14385
250,795.7,0.291585,16.7626,3.02258,635.6,25.1572,14.9759,2.97241,691.3,21.5576,5.2283,3.68038,703.8,17.8279,6.62387,3.32012
250,793.7,0.326274,18.1105,3.00279,676.1,31.3799,13.5573,2.87424,725.5,20.5789,5.98101,3.58898,721,16.76,7.31936,3.26256
250,867.8,0.31231,19.6364,3.14013,681.7,15.7202,14.7107,3.17119,736.5,19.5711,5.94845,4.39887,741.3,15.7128,13.6961,3.13718
250,944.9,0.319191,18.5736,2.67004,825.7,19.9462,17.5947,2.57061,887,16.4102,7.49648,3.39453,889.3,18.461,8.91855,2.91789
250,762.2,0.814063,16.0022,3.02197,659.1,18.1658,13.3805,2.74386,699.1,15.4423,6.16576,3.50987,719.5,15.6043,7.22194,3.17244
500,1655.3,1.73029,19.6766,3.03581,1371.2,96.6699,13.4871,2.8768,1467.1,87.3432,6.06078,3.6628,1455.7,79.2521,7.29234,3.27906
500,1605.1,2.22093,17.9356,4.00967,1412.8,94.3905,15.9473,2.93651,1482.9,76.6853,6.20488,5.89533,1496.8,81.4927,8.11809,3.37996
500,1486.9,3.13884,15.6094,3.80785,1270.6,86.9287,17.7175,3.13114,1339.3,91.3247,5.70584,5.66917,1354.4,72.1743,14.2388,3.44612
500,1390.2,1.29606,14.2004,4.83439,1174.4,91.8835,13.2862,3.22385,1273.8,87.6224,4.65383,4.79224,1270.5,91.5142,6.50877,3.5587
500,1467,2.22052,16.5269,3.70333,1291.7,82.5355,13.2089,3.18366,1348.8,70.9138,5.34598,4.99681,1367.7,72.7881,6.71368,3.38551
500,1441.5,1.99113,14.9693,3.24652,1255.4,93.1396,12.9658,2.89538,1335.2,90.2373,5.36184,3.7796,1345.8,89.0909,6.57385,3.32189
500,1737.4,1.87568,16.2364,4.43669,1521.8,99.1857,17.5692,2.685,1605.7,103.978,6.75484,4.95039,1618.5,91.2909,8.22273,3.20309
500,1705.1,1.59157,18.4141,3.40736,1417.4,90.1954,20.8523,2.90815,1518.1,95.7633,7.03556,3.98915,1525.5,83.5489,34.1169,3.26649
500,1512.7,1.94028,15.6302,3.36471,1243.5,82.6924,14.4169,3.4365,1322.3,125.385,5.52648,4.88953,1342.6,84.9265,8.71753,3.42175
500,1531.7,1.69878,16.3278,3.03531,1309.4,90.1726,13.5605,2.83059,1385.4,96.6349,4.98532,3.72934,1412.3,75.842,6.31773,3.28056
