n,greedy_obj_val,greedy_time,greedy_solution_cost,batching_obj_val,batching_time,batching_solution_cost,batching_2_obj_val,batching_2_time,batching_2_solution_cost
10,36.9,1.522e-06,2.18764,293,0.000103981,2.3803,540,4.4717e-05,2.26848
10,42.4,1.368e-06,2.32316,324,4.3171e-05,2.48467,804,4.3492e-05,2.45267
10,65.6,1.283e-06,1.50132,569,4.3843e-05,1.68668,843,5.5874e-05,1.83066
10,29.5,1.777e-06,2.12265,237,4.4657e-05,2.46848,736,4.6956e-05,2.46509
10,33.9,2.125e-06,2.72653,308,6.7155e-05,2.76135,703,5.0874e-05,2.83817
10,63.6,1.45e-06,1.7508,544,4.1528e-05,2.32476,847,4.256e-05,2.32476
10,44.9,9.72e-07,1.95153,410,3.9731e-05,1.96554,809,3.7961e-05,1.94996
10,56.3,1.118e-06,1.88981,469,4.612e-05,2.49294,821,4.0261e-05,2.49252
10,38.1,1.301e-06,1.78968,355,0.000114221,1.94116,617,4.9254e-05,1.96316
10,58.1,1.22e-06,1.69759,497,4.8421e-05,1.83825,704,4.0601e-05,1.83062
100,408.7,0.000948683,2.66872,3295,0.00243581,2.58795,7079,0.00256955,2.54429
100,380,5.1323e-05,2.57695,3442,0.00418584,2.54653,7139,0.002512,2.4703
100,307.7,4.9679e-05,3.10373,2415,0.00289382,3.13967,5406,0.00826397,3.13593
100,380.1,5.1009e-05,2.58536,3174,0.00247341,2.55401,6877,0.00339131,2.59614
100,279.2,5.0409e-05,2.87035,2348,0.00236702,3.04362,5626,0.00248878,3.03511
100,398.5,5.1162e-05,2.57917,3417,0.00234785,3.75177,7471,0.00277694,3.67842
100,323.1,7.3452e-05,2.91306,2509,0.00230258,2.94987,5963,0.00258618,2.98297
100,325.5,4.8136e-05,2.95811,2600,0.00227446,2.92166,5587,0.00258451,2.90116
100,271.3,5.1579e-05,3.20167,2276,0.00243568,3.07392,5668,0.00243049,3.17954
100,299,4.8165e-05,2.89727,2587,0.00235898,2.80231,6536,0.00252642,2.81612
250,917.9,0.000313741,3.05795,7065,0.0178969,4.01831,15426,0.0164171,3.97289
250,988.2,0.000328682,2.87723,7739,0.0157894,2.92202,16968,0.01689,2.91133
250,736.9,0.000393356,3.02062,5995,0.0219959,2.91784,15464,0.0192454,2.89358
250,844.5,0.000312786,4.23301,7309,0.0145889,3.28265,16070,0.0177421,3.24515
250,844.2,0.000336972,2.85226,7270,0.0186911,2.86275,16554,0.0205416,2.75462
250,795.7,0.000304123,3.02258,6356,0.0155078,2.97241,16014,0.016692,2.99629
250,793.7,0.000320081,3.00279,6761,0.0171865,2.87424,15952,0.0170352,2.84629
250,867.8,0.000300114,3.14013,6817,0.0147358,3.17119,16721,0.0182321,3.14633
250,944.9,0.000494137,2.67004,8257,0.0179878,2.57061,18193,0.0207947,2.51706
250,762.2,0.000696515,3.02197,6591,0.0187568,2.74386,16291,0.0213868,2.71783
500,1655.3,0.00144772,3.03581,13712,0.091708,2.8768,32928,0.118775,2.88063
500,1605.1,0.00151398,4.00967,14128,0.0899564,2.93651,31977,0.0873871,2.9542
500,1486.9,0.001489,3.80785,12706,0.0845102,3.13114,29896,0.0937489,3.19222
500,1390.2,0.00189603,4.83439,11744,0.101978,3.22385,31025,0.100691,3.25175
500,1467,0.00171185,3.70333,12917,0.0878358,3.18366,31908,0.180416,3.05683
500,1441.5,0.00134427,3.24652,12554,0.0923552,2.89538,30969,0.0846865,2.91589
500,1737.4,0.00152476,4.43669,15218,0.0915549,2.685,32807,0.0921313,2.75262
500,1705.1,0.00143596,3.40736,14174,0.0757326,2.90815,30960,0.100103,3.03737
500,1512.7,0.00135866,3.36471,12435,0.0879369,3.4365,29835,0.0896888,3.55825
500,1531.7,0.00168722,3.03531,13094,0.0900529,2.83059,34368,0.109274,2.85382
